_time,_value,instance_id
21/03/2024 10:05,4.389639647,
21/03/2024 10:10,4.515505663,
21/03/2024 10:15,4.420741409,
21/03/2024 10:20,4.532060826,
21/03/2024 10:25,4.466861938,
21/03/2024 10:30,4.646595183,
21/03/2024 10:35,4.407758397,
21/03/2024 10:40,4.433914918,
21/03/2024 10:45,4.342226283,
21/03/2024 10:50,4.477902769,
21/03/2024 10:55,4.466579818,
21/03/2024 11:00,4.610568246,
21/03/2024 11:05,4.584825274,
21/03/2024 11:10,4.554148605,
21/03/2024 11:15,4.45945415,
21/03/2024 11:20,4.42058585,
21/03/2024 11:25,4.527648169,
21/03/2024 11:30,4.719985423,
21/03/2024 11:35,4.514117558,
21/03/2024 11:40,4.547625682,
21/03/2024 11:45,4.516609879,
21/03/2024 11:50,4.442344187,
21/03/2024 11:55,4.360866067,
21/03/2024 12:00,4.434158967,
21/03/2024 12:05,4.433841741,
21/03/2024 12:10,4.533073874,
21/03/2024 12:15,4.674990546,
21/03/2024 12:20,4.988537759,
21/03/2024 12:25,4.767469177,
21/03/2024 12:30,4.931560053,
21/03/2024 12:35,4.649454227,
21/03/2024 12:40,4.503500428,
21/03/2024 12:45,4.616781704,
21/03/2024 12:50,4.643575067,
21/03/2024 12:55,4.600741517,
21/03/2024 13:00,4.59340576,
21/03/2024 13:05,4.63892034,
21/03/2024 13:10,4.476843023,
21/03/2024 13:15,4.613886354,
21/03/2024 13:20,4.547073703,
21/03/2024 13:25,4.301866316,
21/03/2024 13:30,4.514801279,
21/03/2024 13:35,4.513439499,
21/03/2024 13:40,4.447861717,
21/03/2024 13:45,4.494882017,
21/03/2024 13:50,4.508562735,
21/03/2024 13:55,4.34459964,
21/03/2024 14:00,4.536733959,
21/03/2024 14:05,4.480458419,
21/03/2024 14:10,4.280499757,
21/03/2024 14:15,4.473605286,
21/03/2024 14:20,4.520705196,
21/03/2024 14:25,4.556567453,
21/03/2024 14:30,4.735943604,
21/03/2024 14:35,4.550026145,
21/03/2024 14:40,4.513291339,
21/03/2024 14:45,4.701685222,
21/03/2024 14:50,4.766195584,
21/03/2024 14:55,4.378608955,
21/03/2024 15:00,4.648677244,
21/03/2024 15:05,4.545646232,
21/03/2024 15:10,4.530556231,
21/03/2024 15:15,4.968213466,
21/03/2024 15:20,4.462389735,
21/03/2024 15:25,4.543190803,
21/03/2024 15:30,4.519030439,
21/03/2024 15:35,4.458374555,
21/03/2024 15:40,4.390551957,
21/03/2024 15:45,4.428868898,
21/03/2024 15:50,4.46562094,
21/03/2024 15:55,4.496136187,
21/03/2024 16:00,4.478832024,
21/03/2024 16:05,4.537903039,
21/03/2024 16:10,4.296075014,
21/03/2024 16:15,4.466540635,
21/03/2024 16:20,4.486485441,
21/03/2024 16:25,5.128438964,
21/03/2024 16:30,5.651643553,
21/03/2024 16:35,4.561245039,
21/03/2024 16:40,4.483244434,
21/03/2024 16:45,4.511665019,
21/03/2024 16:50,4.453875146,
21/03/2024 16:55,4.411588779,
21/03/2024 17:00,4.545747762,
21/03/2024 17:05,4.46175982,
21/03/2024 17:10,4.249735661,
21/03/2024 17:15,4.506966745,
21/03/2024 17:20,4.433295707,
21/03/2024 17:25,4.512715418,
21/03/2024 17:30,4.51133873,
21/03/2024 17:35,4.502328369,
21/03/2024 17:40,4.447576566,
21/03/2024 17:45,4.482347546,
21/03/2024 17:50,4.449084619,
21/03/2024 17:55,4.403581183,
21/03/2024 18:00,4.446920746,
21/03/2024 18:05,4.508906305,
21/03/2024 18:10,4.450516612,
21/03/2024 18:15,4.497076813,
21/03/2024 18:20,4.513968187,
21/03/2024 18:25,4.455069939,
21/03/2024 18:30,4.546920767,
21/03/2024 18:35,4.47158377,
21/03/2024 18:40,4.447940474,
21/03/2024 18:45,4.383093592,
21/03/2024 18:50,4.490296205,
21/03/2024 18:55,4.578267864,
21/03/2024 19:00,4.586369775,
21/03/2024 19:05,4.505492979,
21/03/2024 19:10,4.410684125,
21/03/2024 19:15,4.517194819,
21/03/2024 19:20,4.399889268,
21/03/2024 19:25,4.441044583,
21/03/2024 19:30,4.405392879,
21/03/2024 19:35,4.51926514,
21/03/2024 19:40,4.539830129,
21/03/2024 19:45,4.535632492,
21/03/2024 19:50,4.480790661,
21/03/2024 19:55,4.411084265,
21/03/2024 20:00,4.555736708,
21/03/2024 20:05,4.376883632,
21/03/2024 20:10,4.474129126,
21/03/2024 20:15,4.422741286,
21/03/2024 20:20,4.522159553,
21/03/2024 20:25,4.577216391,
21/03/2024 20:30,4.479510764,
21/03/2024 20:35,4.541892245,
21/03/2024 20:40,4.395970781,
21/03/2024 20:45,4.385488702,
21/03/2024 20:50,4.426657365,
21/03/2024 20:55,4.50635467,
21/03/2024 21:00,4.563418676,
21/03/2024 21:05,4.78519685,
21/03/2024 21:10,4.58306642,
21/03/2024 21:15,4.557203269,
21/03/2024 21:20,4.56862629,
21/03/2024 21:25,4.455289239,
21/03/2024 21:30,4.454863271,
21/03/2024 21:35,4.652343752,
21/03/2024 21:40,4.547612794,
21/03/2024 21:45,4.434487793,
21/03/2024 21:50,4.498407162,
21/03/2024 21:55,4.525785506,
21/03/2024 22:00,4.595373722,
21/03/2024 22:05,4.528666043,
21/03/2024 22:10,4.354638296,
21/03/2024 22:15,4.518380874,
21/03/2024 22:20,4.476992502,
21/03/2024 22:25,4.936944629,
21/03/2024 22:30,4.531504294,
21/03/2024 22:35,4.386682472,
21/03/2024 22:40,4.534398936,
21/03/2024 22:45,4.554903961,
21/03/2024 22:50,4.802349516,
21/03/2024 22:55,4.414781363,
21/03/2024 23:00,4.535142642,
21/03/2024 23:05,4.471644996,
21/03/2024 23:10,4.530601068,
21/03/2024 23:15,4.396565935,
21/03/2024 23:20,4.548504537,
21/03/2024 23:25,4.572156457,
21/03/2024 23:30,4.512165164,
21/03/2024 23:35,4.509264419,
21/03/2024 23:40,4.606756282,
21/03/2024 23:45,4.541514654,
21/03/2024 23:50,4.520999451,
21/03/2024 23:55,4.509479802,
22/03/2024 0:00,4.497602298,
22/03/2024 0:05,4.586245656,
22/03/2024 0:10,4.523261558,
22/03/2024 0:15,4.512992275,
22/03/2024 0:20,4.468388575,
22/03/2024 0:25,4.531603188,
22/03/2024 0:30,4.534987036,
22/03/2024 0:35,4.443580802,
22/03/2024 0:40,4.510719975,
22/03/2024 0:45,4.490135664,
